Name_number;Name_submitted;Name_matched;Name_matched_accepted_family;Genus_matched
541;Staudtia gabonensis;Staudtia gabonensis;Myristicaceae;Staudtia
542;Staudtia kamerunensis;Staudtia kamerunensis;Myristicaceae;Staudtia
543;Stemonocoleus micranthus;Stemonocoleus micranthus;Fabaceae;Stemonocoleus
544;Sterculia dawei;Sterculia dawei;Malvaceae;Sterculia
545;Sterculia quinqueloba;Sterculia quinqueloba;Malvaceae;Sterculia
546;Sterculia rhinopetala;Sterculia rhinopetala;Malvaceae;Sterculia
547;Sterculia setigera;Sterculia setigera;Malvaceae;Sterculia
548;Streblus dimepate;Streblus dimepate;Moraceae;Streblus
549;Strephonema pseudocolum;Strephonema pseudocola;Combretaceae;Strephonema
550;Strombosia grandifolia;Strombosia grandifolia;Olacaceae;Strombosia
551;Strombosia pustulata;Strombosia pustulata;Olacaceae;Strombosia
552;Strombosiopsis tetrandra;Strombosiopsis tetrandra;Olacaceae;Strombosiopsis
553;Strychnos decussata;Strychnos decussata;Loganiaceae;Strychnos
554;Strychnos mitis;Strychnos mitis;Loganiaceae;Strychnos
555;Swartzia fistuloides;Swartzia fistuloides;Fabaceae;Swartzia
556;Symphonia globulifera;Symphonia globulifera;Clusiaceae;Symphonia
557;Synsepalum afzelii;Synsepalum afzelii;Sapotaceae;Synsepalum
558;Syzygium cordatum;Syzygium cordatum;Myrtaceae;Syzygium
559;Syzygium guineense;Syzygium guineense;Myrtaceae;Syzygium
560;Syzygium indet;Syzygium;Myrtaceae;Syzygium
561;Tabebuia donnell-smithii;Tabebuia donnell-smithii;Bignoniaceae;Tabebuia
562;Tabebuia heterophylla;Tabebuia heterophylla;Bignoniaceae;Tabebuia
563;Tabebuia rosea;Tabebuia rosea;Bignoniaceae;Tabebuia
564;Tabernaemontana crassa;Tabernaemontana crassa;Apocynaceae;Tabernaemontana
565;Tabernaemontana pachysiphon;Tabernaemontana pachysiphon;Apocynaceae;Tabernaemontana
566;Tamarindus indica;Tamarindus indica;Fabaceae;Tamarindus
567;Tamarix aphylla;Tamarix aphylla;Tamaricaceae;Tamarix
568;Tectona grandis;Tectona grandis;Lamiaceae;Tectona
569;Terminalia arjuna;Terminalia arjuna;Combretaceae;Terminalia
570;Terminalia catappa;Terminalia catappa;Combretaceae;Terminalia
571;Terminalia glaucescens;Terminalia glaucescens;Combretaceae;Terminalia
572;Terminalia ivorensis;Terminalia ivorensis;Combretaceae;Terminalia
573;Terminalia macroptera;Terminalia macroptera;Combretaceae;Terminalia
574;Terminalia prunioides;Terminalia prunioides;Combretaceae;Terminalia
575;Terminalia superba;Terminalia superba;Combretaceae;Terminalia
576;Tessmannia africana;Tessmannia africana;Fabaceae;Tessmannia
577;Tessmannia lescrauwaetii;Tessmannia lescrauwaetii;Fabaceae;Tessmannia
578;Testulea gabonensis;Testulea gabonensis;Ochnaceae;Testulea
579;Tetraberlinia bifoliolata;Tetraberlinia bifoliolata;Fabaceae;Tetraberlinia
580;Tetraberlinia tubmaniana;Tetraberlinia tubmaniana;Fabaceae;Tetraberlinia
581;Tetrapleura tetraptera;Tetrapleura tetraptera;Fabaceae;Tetrapleura
582;Tetrorchidium didymostemon;Tetrorchidium didymostemon;Euphorbiaceae;Tetrorchidium
583;Thespesia populnea;Thespesia populnea;Malvaceae;Thespesia
584;Tieghemella africana;Tieghemella africana;Sapotaceae;Tieghemella
585;Tieghemella heckelii;Tieghemella heckelii;Sapotaceae;Tieghemella
586;Tieghemella indet;Tieghemella;Sapotaceae;Tieghemella
587;Trema indet;Trema;Cannabaceae;Trema
588;Trema orientalis;Trema orientalis;Cannabaceae;Trema
589;Trichilia emetica;Trichilia emetica;Meliaceae;Trichilia
590;Trichilia heudelotii;Trichilia heudelotii;Meliaceae;Trichilia
591;Trichilia monadelpha;Trichilia monadelpha;Meliaceae;Trichilia
592;Trichilia prieuriana;Trichilia prieuriana;Meliaceae;Trichilia
593;Trichoscypha arborea;Trichoscypha arborea;Anacardiaceae;Trichoscypha
594;Triplochiton scleroxylon;Triplochiton scleroxylon;Malvaceae;Triplochiton
595;Turraeanthus africanus;Turraeanthus africanus;Meliaceae;Turraeanthus
596;Turraeanthus vignei;Turraeanthus vignei;Meliaceae;Turraeanthus
597;Uapaca esculenta;Uapaca esculenta;Phyllanthaceae;Uapaca
598;Uapaca guineensis;Uapaca guineensis;Phyllanthaceae;Uapaca
599;Uapaca heudelotii;Uapaca heudelotii;Phyllanthaceae;Uapaca
600;Uapaca indet;Uapaca;Phyllanthaceae;Uapaca
601;Uapaca paludosa;Uapaca paludosa;Phyllanthaceae;Uapaca
602;Vepris lanceolata;Vepris lanceolata;Rutaceae;Vepris
603;Vitex doniana;Vitex doniana;Lamiaceae;Vitex
604;Vitex grandifolia;Vitex grandifolia;Lamiaceae;Vitex
605;Vitex micrantha;Vitex micrantha;Lamiaceae;Vitex
606;Vitex oxycuspis;Vitex oxycuspis;Lamiaceae;Vitex
607;Vitex pachyphylla;Vitex pachyphylla;Lamiaceae;Vitex
608;Ximenia americana;Ximenia americana;Ximeniaceae;Ximenia
609;Xylocarpus moluccensis;Xylocarpus moluccensis;Meliaceae;Xylocarpus
610;Xylopia aethiopica;Xylopia aethiopica;Annonaceae;Xylopia
611;Xylopia cupularis;Xylopia cupularis;Annonaceae;Xylopia
612;Xylopia hypolampra;Xylopia hypolampra;Annonaceae;Xylopia
613;Xylopia quintasii;Xylopia quintasii;Annonaceae;Xylopia
614;Xylopia staudtii;Xylopia staudtii;Annonaceae;Xylopia
615;Zanthoxylum gilletii;Zanthoxylum gilletii;Rutaceae;Zanthoxylum
616;Zanthoxylum heitzii;Zanthoxylum heitzii;Rutaceae;Zanthoxylum
617;Zanthoxylum leprieurii;Zanthoxylum leprieurii;Rutaceae;Zanthoxylum
618;Ziziphus mauritiana;Ziziphus mauritiana;Rhamnaceae;Ziziphus
